Accounts,Usage Nov,Usage Dec,Usage Jan,Decline Yes / No,ARR,#tickets,Renewal,Ticket Stress level,Call?
Integrated Telecom Co Ltd (Salam),3.01,4,4,NO,201473.535,104,YES,High,Technical Health Review
Samara (Sixt),4,4,4,NO,30135.40331,54,NO,High,Technical Health Review
Al Muhaidib Group,4,4,4,NO,0,49,NO,High,Technical Health Review
LuLu Group International,4,3.98,3.98,NO,161292.7306,36,YES,High,Technical Health Review
Unified Real Estate Development,4,4,4,NO,48292.63371,35,YES,High,Technical Health Review
Al Khayyat Investment,4,4,4,NO,15497.9027,35,NO,High,Technical Health Review
"Lucid Group, Inc.",2,3,3,NO,9481.220453,33,NO,High,Technical Health Review
Al Rugaib Furniture,3,2,3,NO,34661.37961,32,NO,High,Technical Health Review
Emerson Saudi Arabia LLC,2,3,3,NO,21364.74114,30,NO,High,Technical Health Review
Alf Jim Logistics Company,3.07,2.07,2.07,NO,8221.945869,30,NO,High,Technical Health Review
Essilor Saudi,4,4,4,NO,30945.67972,29,YES,High,Technical Health Review
Pico Play Arabia Ltd,4,3,4,NO,4232.687702,27,NO,High,Technical Health Review
ampo.com,3,3,4,NO,6611.524848,26,NO,High,Technical Health Review
Jazirat Smaa Fashion Company Limited,3,3,3,NO,10478.40168,26,NO,High,Technical Health Review
Ali Zaid Al-Quraishi & Brothers (AZAQ),3.97,Null,Null,Needs Review,0,25,NO,High,Data Validation Required
COMPANY ISAMAIL ALI ABUDAWOOD LTD (IATCO),4,3,3,NO,37589.19968,23,NO,High,Technical Health Review
GMG,4,Null,4,Needs Review,4599.298448,23,NO,High,Data Validation Required
Saudi Marketing Co (FARM Superstores),2,3,3,NO,28995.57717,23,NO,High,Technical Health Review
Hesham El-sewedy Trading Company Ltd.,3.5,3.5,3.5,NO,5999.084933,23,YES,High,Technical Health Review
IKK Group,4,4,4,NO,120256.5901,22,YES,High,Technical Health Review
Saudi Mechanical Industries,3.42,3.42,3,NO,10998.32238,22,NO,High,Technical Health Review
Landmark Arabia,3.96,3.96,3.96,NO,0,21,NO,High,Technical Health Review
East Pipes Integrated Company for Industry,4,4,3,NO,0,21,NO,High,Technical Health Review
Cenomi Centers (Arabian Centers),4,4,4,NO,36444.30765,20,YES,High,Technical Health Review
KAEFER,4,4,4,NO,16797.43781,20,NO,High,Technical Health Review
Norton Rose Fulbright,4,4,4,NO,9998.474888,20,NO,High,Technical Health Review
Al Musbah,4,4,4,NO,98584.96239,19,NO,High,Technical Health Review
Abo Moati,4,4,4,NO,42993.44202,19,NO,High,Technical Health Review
Al-Falak Electronic Equipment and Supplies Co.,4,4,4,NO,46292.93873,19,NO,High,Technical Health Review
Valmet Flow Control Industrial LLC,2,3,3,NO,7149.042858,19,NO,High,Technical Health Review
Saudi Hypermarkets Company (Majid Al Futtaim - Carrefour),3.9,3.9,Null,Needs Review,0,17,NO,High,Data Validation Required
Universal Metal Coating Company,4,4,4,NO,7621.77075,17,NO,High,Technical Health Review
Asgharali,3,4,4,NO,10748.22719,16,YES,High,Technical Health Review
VIVA Arabia Trading Co (LMG Group),2.99,2.99,3.98,NO,33194.93663,16,NO,High,Technical Health Review
Al-Jazeera Markets,3.92,3.92,3.92,NO,40307.71835,15,NO,High,Technical Health Review
LEJAAM,4,4,4,NO,22663.20975,15,NO,High,Technical Health Review
AL-SARIA AL-HADITHA For Trading,3,3.98,3.95,NO,20346.22983,15,NO,High,Technical Health Review
Burckhardt Compressions KSA,2,2,2,NO,8698.1399,15,NO,High,Technical Health Review
Knight Frank KSA,3,3,2,YES,5459.167289,15,NO,High,Usage Recovery Intervention
â€‹Al Howail Company For Trading & Contracting,4,3.73,3.75,NO,18581.96561,14,NO,High,Technical Health Review
Executive center,2,3,2,YES,13797.89534,14,NO,High,Usage Recovery Intervention
Power International Holding,3,Null,3,Needs Review,23866.49287,14,NO,High,Data Validation Required
Latis,2.4,2.4,2.4,NO,10448.53957,14,NO,High,Technical Health Review
Zamil Industrial,4,4,3,NO,9065.283898,14,NO,High,Technical Health Review
Danway Ae,3,3,3,NO,8373.12281,14,NO,High,Technical Health Review
Lantern Software and Security Systems Co. LTD,4,4,4,NO,6654.718259,14,NO,High,Technical Health Review
BAFCO INTERNATIONAL SHIPPING AND LOGISTICS CO. LTD.,4,4,4,NO,7218.365617,14,NO,High,Technical Health Review
MODERN ADHESIVE PRODUCTS CO.,4,4,4,NO,4949.378382,14,NO,High,Technical Health Review
Homoola,4,4,4,NO,4346.003751,14,NO,High,Technical Health Review
Linde Regional Headquarters Company,#N/A,#N/A,#N/A,Needs Review,3999.389955,14,NO,High,Data Validation Required
Daily Food,4,4,4,NO,45045.92894,13,NO,High,Technical Health Review
Ajmal Trading Company,4,4,4,NO,36386.18318,13,NO,High,Technical Health Review
ZYBO TECH LLC,4,4,4,NO,36694,13,NO,High,Technical Health Review
Prince Sultan University,3.93,3.93,3.93,NO,14997.71233,13,NO,High,Technical Health Review
Fuzail Al Arabia Co Ltd,3,3,3,NO,3919.402156,13,NO,High,Technical Health Review
Kalaam Telecom,3.2,3.2,3.2,NO,2399.633973,13,YES,High,Technical Health Review
Tabby,#N/A,1.96,3.92,NO,17497.33105,13,NO,High,Technical Health Review
IKEA,4,4,4,NO,75588.47015,12,NO,High,Technical Health Review
Albawardi,4,4,4,NO,0,12,NO,High,Technical Health Review
TBO LLC,4,4,4,NO,30000,12,NO,High,Technical Health Review
Oilfields Supply Company Saudi,4,Null,4,Needs Review,16958.47991,12,NO,High,Data Validation Required
Al Hidayah Towers Hotel Company,4,4,1,YES,5499.161188,12,NO,High,Usage Recovery Intervention
Lazard Saudi Arabia (Oasis Consulting),4,4,4,NO,2249.523537,12,NO,High,Technical Health Review
BFL Group,4,4,4,NO,28395.66868,10,YES,Medium,Monitor
Joy Alukkas Company Ltd,4,4,4,NO,14080,10,NO,Medium,Monitor
Geekay Group,3.9,3.9,3.9,NO,7349.012355,10,NO,Medium,Monitor
Al-Reziza,3.67,3.67,3,NO,8248.875095,10,YES,Medium,Monitor
Technocorp Trading LLC,3.92,3.92,3.96,NO,9032.222274,10,NO,Medium,Monitor
Al Rubaiyat Company for Industry & Trade Holding Limited (RCITH),3,3,3,NO,39993.89955,9,NO,Medium,Monitor
Al Rashed Foods,4,4,4,NO,35696.95498,9,NO,Medium,Monitor
Damas Jewellery,3.98,3.96,3.96,NO,18957.10839,9,YES,Medium,Monitor
Al Jabr Group,4,3,4,NO,14003.19736,9,NO,Medium,Monitor
KEO,4,4,3,NO,10600.78301,9,NO,Medium,Monitor
Dahiyat Thakher-Thakher Development Co. (Group Co.),3.63,3,3,NO,11507.04478,9,NO,Medium,Monitor
The WellBoss,4,4,3,NO,5347.450996,9,NO,Medium,Monitor
Laticrete Middle East LLC,3,3,3,NO,5174.410724,9,NO,Medium,Monitor
National Talents Company,3,3,3,NO,4499.313699,9,NO,Medium,Monitor
Tuwaiq Medical Complex,3.98,3.98,3.98,NO,19842.3067,8,NO,Medium,Monitor
Unicharm,4,3.99,3.99,NO,33661.53212,8,NO,Medium,Monitor
Malabar Group,3.8,3.78,3.89,NO,32255.87987,8,NO,Medium,Monitor
SIG COMBIBLOC OBEIKAN LIMITED COMPANY,4,4,4,NO,18587.0315,8,NO,Medium,Monitor
Jawa Human Resources Company,3.1,3.1,3.1,NO,17264.03331,8,NO,Medium,Monitor
SATS saudi Arabia,3,3,3,NO,11987.77145,8,NO,Medium,Monitor
International Programs School Company,3,4,4,NO,11482.24856,8,NO,Medium,Monitor
Tekmar Group PLC,Null,0,0,#DIV/0!,9478.554193,8,NO,Medium,#DIV/0!
Tahweel Holding,4,4,3,NO,7414.069099,8,YES,Medium,Monitor
RSS Saudi Co. LTD,4,4,3,NO,8198.749408,8,YES,Medium,Monitor
Forum Arabia Ltd co,4,4,4,NO,5185.875642,8,NO,Medium,Monitor
Indra Arabia Company Ltd,3,3,3,NO,5279.194741,8,NO,Medium,Monitor
East office trading,3.91,3.82,3.91,NO,3899.405206,8,NO,Medium,Monitor
L'azurde Company For Jewelry,4,4,4,NO,32994.96713,7,NO,Medium,Monitor
Yaqout Ceramics,4,4,3,NO,26156.54356,7,NO,Medium,Monitor
Al Arkan Steel & Industrial Ltd. Co.,3,3,3,NO,17321.89115,7,NO,Medium,Monitor
MAYAR Holding,2.19,2.19,2.19,NO,16997.40731,7,NO,Medium,Monitor
Rema Manufacturing,3.91,3.83,3.91,NO,14497.78859,7,NO,Medium,Monitor
ArcelorMittal Arabia Projects Company,3,3,3,NO,11653.15582,7,NO,Medium,Monitor
Arla Foods,3.39,4,4,NO,46494.24136,7,YES,Medium,Monitor
Saudi Finance Company,3,3,3,NO,8798.657901,7,NO,Medium,Monitor
Pico,2,3,3,NO,8798.657901,7,YES,Medium,Monitor
Saudi Advanced Technologies Co Ltd (Wahaj),3.9,3.9,3.9,NO,6165.726181,7,NO,Medium,Monitor
Fitness First Company Ltd,Null,0,2.94,#DIV/0!,4859.258795,7,NO,Medium,#DIV/0!
Mawten Real Estate Co,2.63,2.63,3.5,NO,4499.313699,7,NO,Medium,Monitor
Omnix International,4,4,4,NO,4899.252695,7,NO,Medium,Monitor
Mahmoud Yousef Adada & Issam Kabbani & Partners Co. LTD,3,3,3,NO,4259.350302,7,NO,Medium,Monitor
Savvy Games Group,3,4,4,NO,0,7,NO,Medium,Monitor
Mayar Foods,2.99,2.99,2.99,NO,28595.63818,6,YES,Medium,Monitor
Sumitomo Corporation Saudi Arabia,Null,2,3,NO,16997.40731,6,NO,Medium,Monitor
CEVA Logistics,3.2,3.2,3.2,NO,13297.9716,6,NO,Medium,Monitor
PLAZA PREMIUM LOUNGE MANAGEMENT LTD,0.17,0.17,0.17,NO,13864.55184,6,NO,Medium,Monitor
Alhaddad Trading Office,3,4,3,NO,11547.57193,6,NO,Medium,Monitor
TBWA RAAD MIDDLE EAST LLC,3,3,2,YES,12934.02711,6,NO,Medium,Usage Recovery Intervention
Al Muhaidib HO,4,3,2,YES,8798.657901,6,NO,Medium,Usage Recovery Intervention
Schoeller-Bleckmann Saudi LLC.,3.99,3.99,3.99,NO,8998.627399,6,NO,Medium,Monitor
Saudi National Steel Factory Co.,3,3,3,NO,7938.789061,6,NO,Medium,Monitor
SOLB STEEL COMPANY,3,3,4,NO,7978.516334,6,YES,Medium,Monitor
Al Majwal Trading & Contracting Co.,4,4,3,NO,6598.7268,6,NO,Medium,Monitor
Wilo Group,4,4,3,NO,8332.062406,6,NO,Medium,Monitor
SICIM Saudi Arabia Co.,3,3,3,NO,5332.51994,6,NO,Medium,Monitor
FOOD MANUFACTURING GROUP COMPANY LTD,3,3,3,NO,5342.385102,6,YES,Medium,Monitor
Four Winds Saudi Arabia Ltd.,3.67,2.67,2.67,NO,5449.302127,6,YES,Medium,Monitor
Speridian,3,3,3,NO,4765.67307,6,NO,Medium,Monitor
Astek Saudi Arabia,4,4,4,NO,4759.274046,6,NO,Medium,Monitor
Al-Jawza Al-Dhahabiyyah For Transportation and Storage,2,4,2,YES,3817.551025,6,NO,Medium,Usage Recovery Intervention
CJICM,#N/A,#N/A,0,Needs Review,3199.511964,6,NO,Medium,Data Validation Required
Alluhaid & Alyahya Chartered Accountants Inova Bridge,4,4,4,NO,3132.855465,6,NO,Medium,Monitor
Hima Security Consulting,3,3,3,NO,1466.442984,6,NO,Medium,Monitor
SAUDI CHAINLINK FENCE MFG. CO. LTD,3.17,4,4,NO,2199.664475,6,NO,Medium,Monitor
Thrivve,4,4,4,NO,3499.732837,6,NO,Medium,Monitor
Ahmed Ali Ahmed Ashadawi,Null,2,1,YES,2499.618722,6,NO,Medium,Usage Recovery Intervention
Forwin Industry,Null,2,4,NO,4999.237444,6,YES,Medium,Monitor
TBWA RAAD MIDDLE EAST LLC,3,3,2,YES,12934.02711,6,NO,Medium,Usage Recovery Intervention
Saed Raddad Group,3,2,2,NO,42588.70375,5,YES,Medium,Monitor
Arabian Petroleum Supply Company (APSCO),4,4,3,NO,23596.40073,5,NO,Medium,Monitor
Blink Experience,3,3,3,NO,19206.40369,5,NO,Medium,Monitor
Dallah Solutions,3.98,3.98,3.98,NO,36819.1838,5,NO,Medium,Monitor
Watan Industrial and Medical Gases Co.,2.31,2.31,2.31,NO,0,5,NO,Medium,Monitor
Arnon Plastic Industries Co,3,3.9,3.9,NO,16891.55679,5,NO,Medium,Monitor
Apex Group,3,3,3,NO,13913.07778,5,NO,Medium,Monitor
???? ??? ??????? ????? - Kesay Clinics,3.99,3.99,3.99,NO,12598.34498,5,NO,Medium,Monitor
Draeger Arabia Co. Ltd.,4,4,4,NO,11364.39987,5,NO,Medium,Monitor
AGILITY LOGISTICS PARKS,4,4,4,NO,8958.633499,5,YES,Medium,Monitor
National Petrochemical Industrial Company,3,4,4,NO,9498.551143,5,NO,Medium,Monitor
Flow Logistics,Null,0,3,#DIV/0!,9873.427295,5,NO,Medium,#DIV/0!
Surbana Jurong Group,3,4,3,NO,7349.012355,5,NO,Medium,Monitor
AL WATANIA FOR INDUSTRIES,3.91,3.91,3.91,NO,7465.527916,5,NO,Medium,Monitor
Khoshaim & Associates,4,4,Null,Needs Review,24000,5,NO,Medium,Data Validation Required
Media Gates Saudi Arabia,4,3,4,NO,17104.05771,5,YES,Medium,Monitor
Tashelat Marketing Co.,4,4,3,NO,8332.062406,5,NO,Medium,Monitor
ALGT,3,4,3,NO,3999.389955,5,NO,Medium,Monitor
Arabian Bedding Trading LLC,3,3,3,NO,3124.323433,5,NO,Medium,Monitor
Mohammad A. Al-Habib - Mustqbal Ibdaa CO. LTD,3,0,0,#DIV/0!,7998.77991,5,YES,Medium,#DIV/0!
Hessa Menfea Financial technology company,Null,0.18,0.27,NO,6499.008677,5,NO,Medium,Monitor
VFS Global,3.94,3.94,3.94,NO,55791.7565,4,NO,Medium,Expansion / Upsell Play
Saudi French Company for Duty free operations and Management,4,4,4,NO,23100,4,NO,Medium,Monitor
Gulf Cryo,4,4,4,NO,19863.63678,4,NO,Medium,Monitor
Trident Freight,4,4,3,NO,16497.48356,4,NO,Medium,Monitor
Saudi Economic and Development,4,4,4,NO,21202.63253,4,NO,Medium,Monitor
SAPAC,3,3,3,NO,18497.17854,4,NO,Medium,Monitor
Ali Bin Ali Hospital (ABAH),3.53,3.06,3.53,NO,15997.55982,4,NO,Medium,Monitor
Signify,4,4,4,NO,12372.77939,4,NO,Medium,Monitor
