Accounts,Usage Nov,Usage Dec,Usage Jan,Decline Yes / No,ARR,#tickets,Renewal,Ticket Stress level,Call?
Ascott Rafal Olaya Riyadh,2.09,3,3.91,NO,12498.09361,4,NO,Medium,Monitor
AL Mutlaq Real Estate Investment Company,3,2,Null,Needs Review,0,4,NO,Medium,Data Validation Required
Mohrkey,2,2,2,NO,10938.33153,4,NO,Medium,Monitor
Global Suhaimi,3,3,3,NO,7699.092289,4,NO,Medium,Monitor
Saudi Motorsport Company,2.04,3.02,3.02,NO,8998.627399,4,NO,Medium,Monitor
Specialist Services LLC.,3,3,3,NO,5399.176439,4,NO,Medium,Monitor
Crane Saudi LLC,3,3,3,NO,6165.726181,4,NO,Medium,Monitor
Majid Hamad Al Qasimi Trading EST Saudi,3,1,2,NO,3919.402156,4,NO,Medium,Monitor
Octal Saudi Arabia Plant LLC,4,3,3,NO,11784.86907,4,NO,Medium,Monitor
Hi-Energy Repairer Maintenance & Rental of Oil Field Equipment,4,3,3,NO,4465.98545,4,NO,Medium,Monitor
Copeland,4,4,4,NO,3299.496713,4,YES,Medium,Monitor
Tricon Energy Arabia for Trading,#N/A,2,4,NO,9831.833639,4,NO,Medium,Monitor
ESRI,3,4,3,NO,3999.389955,4,YES,Medium,Monitor
Al Khozama Investment Co.,#N/A,#N/A,2,Needs Review,4499.313699,4,NO,Medium,Data Validation Required
Raqtan,3.2,3.8,3,NO,18997.10229,3,NO,Low,Monitor
Centriq Medical Company,4,4,4,NO,12798.04786,3,NO,Low,Monitor
Danah,3.97,3.93,3.93,NO,19920.42811,3,NO,Low,Monitor
Clifford Chance (AS&H),4,4,4,NO,20156.92537,3,YES,Low,Monitor
NAZIH SAUDI COMPANY FOR COSMETICS,4,3,3,NO,14997.71233,3,YES,Low,Monitor
BASIC CHEMICAL INDUSTRIES,4,4,4,NO,14647.09915,3,NO,Low,Monitor
Linde Arabian Contracting Co. Ltd,3,3,1,YES,6544.06847,3,NO,Low,Usage Recovery Intervention
Wave One Project Company Limited,3,3,3,NO,6614.72436,3,NO,Low,Monitor
Almajd-Alarabiah,3,3,3,NO,11298.27662,3,YES,Low,Monitor
Pure Gym Middle East,4,3,4,NO,14064.52134,3,YES,Low,Monitor
Jeddah Knowledge International school (JKS),3.8,3.8,3.8,NO,12498.09361,3,NO,Low,Monitor
Saudi Readymix Concrete Co,3.89,3.8,3.89,NO,12231.46761,3,NO,Low,Monitor
New Products Industries Co. Ltd.,3.82,3.82,3.82,NO,11048.44806,3,NO,Low,Monitor
Smart National Solutions,3,3,2,YES,10336.55665,3,NO,Low,Usage Recovery Intervention
Dar Jana International Schools,3.93,3.96,3.95,NO,9348.707333,3,NO,Low,Monitor
Colliers - Saudi Arabia,3,3,3,NO,7918.792111,3,NO,Low,Monitor
TRANSGULF,3,3,3,NO,8498.703654,3,NO,Low,Monitor
Rotana,4,1.33,1.33,NO,3439.475361,3,YES,Low,Monitor
Branch of Opterna Arabia Factory,Null,0,0,#DIV/0!,6585.662126,3,YES,Low,#DIV/0!
Richard Attias and Associates Saudi for Organisation of Exhibitions Co,3,3,3,NO,4499.313699,3,NO,Low,Monitor
DUNCAN AND ROSS ARABIA MANAGEMENT,4,4,4,NO,2199.664475,3,YES,Low,Monitor
PetroApp,4,4,4,NO,6499.008677,3,NO,Low,Monitor
Smart Appliances Trading Company,4,4,4,NO,6328.901291,3,NO,Low,Monitor
Br. C.A.T. International Co. Limited - K.S.A.,Null,Null,Null,Needs Review,2399.633973,3,NO,Low,Data Validation Required
Cognizant Technology Services,3,4,3,NO,2199.664475,3,NO,Low,Monitor
Nielsen Media Saudi Limited,4,4,3,NO,4949.111756,3,NO,Low,Monitor
Gebr Heinemann (JAH Duty Free),#N/A,3,4,NO,45898.86551,3,NO,Low,Monitor
NAVA,3,3,1,YES,3749.028144,3,YES,Low,Usage Recovery Intervention
Transworld Group,2,2,2,NO,4498.780447,3,YES,Low,Monitor
TAV Contracting,3,3,3,NO,4499.313699,3,YES,Low,Monitor
HMY Group,3,1,2,NO,3499.466211,3,YES,Low,Monitor
Dejam Real estate,0.83,0,0,#DIV/0!,4499.313699,3,NO,Low,#DIV/0!
Qiddiya Investment Company (QIC),2,2.96,3,NO,116482.2324,3,NO,Low,Expansion / Upsell Play
Beyond Limits Inc.,Null,2,1,YES,3499.466211,3,NO,Low,Usage Recovery Intervention
Systra KSA,#N/A,#N/A,0,Needs Review,5499.161188,3,NO,Low,Data Validation Required
Tamam Finance Company,#N/A,0,2.7,#DIV/0!,9998.474888,3,NO,Low,#DIV/0!
Al-Andalus Property Co.,4,4,4,NO,7998.77991,2,NO,Low,Monitor
Haramain,4,4,3.99,NO,124610.8592,2,NO,Low,Expansion / Upsell Play
Styli,4,4,4,NO,24996.18722,2,NO,Low,Monitor
Mathevon Middle East Industry,3,3,3,NO,4674.486979,2,NO,Low,Monitor
nascoresaudi.com,4,4,4,NO,17364.01805,2,NO,Low,Monitor
Hoshan Holding,3.13,3,3,NO,15727.46769,2,NO,Low,Monitor
Red Sea Company Limited,3.7,3.7,3.7,NO,16035.68734,2,NO,Low,Monitor
King Fahad Causeway Authority (KFCA),1.5,1.5,1.5,NO,13007.88252,2,NO,Low,Monitor
ICF SH&E Ltd,2,1,2,NO,14304.75137,2,NO,Low,Monitor
Saudi esports federation,3,3,3,NO,11359.86723,2,NO,Low,Monitor
AWJ Holding,3,3,2,YES,11359.86723,2,NO,Low,Usage Recovery Intervention
Public Transportation Co,3,3,1,YES,12951.62443,2,NO,Low,Usage Recovery Intervention
Kaden Investment,4,4,4,NO,9498.551143,2,NO,Low,Monitor
Gulf Lifting Financial Leasing Company,4,4,3,NO,10209.9093,2,NO,Low,Monitor
Bagedo Trading Holding Co. Ltd.,1.5,1.5,1.5,NO,7998.77991,2,YES,Low,Monitor
Alturki Holding,3,3,3,NO,7582.843355,2,NO,Low,Monitor
PSI Assessment Saudi Co for Management consulting,2,3,3,NO,6838.956823,2,NO,Low,Monitor
KASKTAS ARABIA LTD.,4,3,3,NO,7398.871417,2,NO,Low,Monitor
Joint Aviation Fuel Terminal Organization (JAFTO),3,3,3,NO,6489.143515,2,NO,Low,Monitor
ABSAL JOHN PAUL CONTRACTING CO,3,3,3,NO,6499.008677,2,NO,Low,Monitor
Fosam Company Limited,Null,Null,Null,Needs Review,3999.389955,2,NO,Low,Data Validation Required
Kuiper Group,3,3,3,NO,4286.012902,2,YES,Low,Monitor
Alvest Equipment Services,Null,Null,Null,Needs Review,4934.1807,2,NO,Low,Data Validation Required
Tech Mahindra Arabia Ltd.,Null,3,3,NO,1066.503988,2,NO,Low,Monitor
Saudi Martifer Constructions,Null,Null,1,Needs Review,3466.137961,2,NO,Low,Data Validation Required
Dahua Technology Middle East,Null,4,4,NO,2499.352096,2,NO,Low,Monitor
Al Blagha Group,3,3,2,YES,11998.16987,2,NO,Low,Usage Recovery Intervention
Tejoury,2.86,3.86,3,NO,8798.657901,2,NO,Low,Monitor
MOHAMMED MISFER ALHARITH TRADING CO,3,1,0,YES,4248.951888,2,YES,Low,Usage Recovery Intervention
National Security Services Company,1.33,2,1.33,YES,13997.86484,2,NO,Low,Usage Recovery Intervention
Retail Experience Destination (RED),3.2,3.6,2.6,YES,6499.008677,2,YES,Low,Usage Recovery Intervention
Aertssen Machinery Services for Contracting,#N/A,2,3,NO,2999.542466,2,NO,Low,Monitor
Red Sea International - RSI,#N/A,#N/A,3,Needs Review,412.6355558,2,NO,Low,Data Validation Required
Vista Global,#N/A,0,2,#DIV/0!,12998.01735,2,NO,Low,#DIV/0!
Deal,#N/A,#N/A,2.99,Needs Review,9498.284517,2,NO,Low,Data Validation Required
Sumou Re,3,3,3,NO,26745.78701,1,NO,Low,Monitor
Al Ajou Group,2,2,4,NO,5374.913474,1,YES,Low,Monitor
Arabian Cements,4,3.75,3.83,NO,22808.52091,1,NO,Low,Monitor
Yamama Cement Company,4,4,4,NO,19263.72828,1,NO,Low,Monitor
Nikai Electronics,4,3,3,NO,17207.50859,1,NO,Low,Monitor
Northern Cement Company,Null,0,0,#DIV/0!,4166.031203,1,NO,Low,#DIV/0!
Cenomi Retail,3,3,3,NO,11248.15094,1,NO,Low,Monitor
RMD Kwikform Saudi Arabia,4,4,4,NO,12004.30226,1,NO,Low,Monitor
SANKYU SAUDI ARABIA,3,4,3,NO,9665.192391,1,NO,Low,Monitor
The Ascott Hotel Khobar,3.69,3.69,3.38,NO,11298.27662,1,NO,Low,Monitor
HTC Global Information Technology SPC,3,3,3,NO,8248.608469,1,NO,Low,Monitor
Abdallah Attallah M Al Farhoud Est.,3,3,2,YES,8048.638971,1,YES,Low,Usage Recovery Intervention
Laverne EST,Null,0,Null,Needs Review,0,1,NO,Low,Data Validation Required
First Insurance Broker Co,Null,0,0,#DIV/0!,7349.012355,1,NO,Low,#DIV/0!
Saba IP LTD,4,4,4,NO,7398.871417,1,NO,Low,Monitor
Sadana (Al Bait),4,4,4,NO,7221.565129,1,NO,Low,Monitor
Havenstar MMS Ltd,2,3,1,YES,4760,1,NO,Low,Usage Recovery Intervention
Wave Two Project Company Limited,3,3,3,NO,7698.559037,1,NO,Low,Monitor
Lavajet Saudi co.,2,3,3,NO,6598.993426,1,YES,Low,Monitor
Trade Centre Company,3,3,3,NO,5999.084933,1,NO,Low,Monitor
Dewan Architects & Engineers,3,3,3,NO,5679.133736,1,NO,Low,Monitor
Tanmyah,4,3.75,3.75,NO,5899.100184,1,NO,Low,Monitor
King Fahd University of Petroleum and Minerals,4,4,4,NO,5999.084933,1,NO,Low,Monitor
Naqleen Co. Ltd.,3,2,3,NO,5186.942146,1,NO,Low,Monitor
GFH Capital,Null,0,2,#DIV/0!,4543.840241,1,YES,Low,#DIV/0!
Microland KSA,3,3,3,NO,4399.328951,1,NO,Low,Monitor
Solidere Qortuba Company,4,4,3,NO,3999.389955,1,NO,Low,Monitor
dbd holding,Null,0,0,#DIV/0!,4816.065384,1,NO,Low,#DIV/0!
Sarah Towers for Real Estate,3,3,3,NO,3689.570546,1,NO,Low,Monitor
Ittihad Insurance Brokers,4,4,4,NO,2999.542466,1,NO,Low,Monitor
Khaled Drewesh Al Drewesh Security Consulting,4,4,4,NO,1466.442984,1,NO,Low,Monitor
ALGIHAZ CONSTRUCTION HOLDING TAV CONTRACTING LLC JV,1,1.5,1.5,NO,4499.313699,1,YES,Low,Monitor
The Bridge Co,#N/A,#N/A,2,Needs Review,6998.932421,1,NO,Low,Data Validation Required
Enventure Global Technology Inc.,#N/A,0,0,#DIV/0!,2999.542466,1,NO,Low,#DIV/0!
Scan Global Logistics,#N/A,#N/A,0,Needs Review,5999.084933,1,NO,Low,Data Validation Required
REAL ESTATE OPPORTUNITY CUSTODY COMPANY,#N/A,#N/A,2.75,Needs Review,22329.92725,1,NO,Low,Data Validation Required
Wang Kang Group,4,3,2.5,NO,22491.76923,0,NO,Low,Monitor
Mohamad Ibrahim Alshamasy Trading Est,4,4,4,NO,21996.64475,0,NO,Low,Monitor
Azad Properties ???? ????????,4,4,4,NO,14664.42984,0,NO,Low,Monitor
Benchmark,#N/A,0,0,#DIV/0!,14727.88682,0,YES,Low,#DIV/0!
Uptown Jeddah Company,Null,2,1,YES,11498.24612,0,NO,Low,Usage Recovery Intervention
SAUDI MINING SERVICES CO,Null,1,3,NO,10923.13385,0,YES,Low,Monitor
SCIENTECHNIC SAUDI ONE PERSON CO.,Null,Null,Null,Needs Review,#N/A,0,NO,Low,Data Validation Required
Giorgino Armani,Null,Null,Null,Needs Review,#N/A,0,NO,Low,Data Validation Required
Consult DSS,3,3,3,NO,10098.45964,0,NO,Low,Monitor
Linde Jubail Industrial Gases Factory LLC,3,3,3,NO,7698.825663,0,NO,Low,Monitor
Saudi Industrial Gas Company,4,4,4,NO,7698.825663,0,NO,Low,Monitor
"Al-Falak Human Resources Company, Closed Joint Stock",4,4,4,NO,8598.688403,0,NO,Low,Monitor
gciksa.com,Null,Null,Null,Needs Review,0,0,NO,Low,Data Validation Required
Branch Of Global Knowledge Training Center,4,4,3,NO,7165.573669,0,NO,Low,Monitor
Saudi Salco,4,4,4,NO,7632.169164,0,NO,Low,Monitor
MPH ARABIA MANAGEMENT SERVICES,3,3,3,NO,7065.588921,0,NO,Low,Monitor
"Pearson Education Limited, Saudi Arabia branch",Null,0,0,#DIV/0!,6549.134364,0,NO,Low,#DIV/0!
Arcapita Phase 2,3,3,3,NO,6379.026978,0,NO,Low,Monitor
KSA Logistics Fund,Null,3,1,YES,5232.535191,0,NO,Low,Usage Recovery Intervention
Abbott Saudi Arabia Trading LLC.,3,3,3,NO,5309.590104,0,NO,Low,Monitor
Chedid Re,3,3,3,NO,11328.40536,0,NO,Low,Monitor
COPASA ARABIA CO.LTD.,Null,Null,Null,Needs Review,0,0,NO,Low,Data Validation Required
AL-TAKAMUL AL-RAIDAH FOR MODERN SERVICES LTD,Null,0,0,#DIV/0!,6558.999526,0,NO,Low,#DIV/0!
Gullivers Travel Associates Tour Organizers Co.LTD,3,3,1,YES,4532.641949,0,NO,Low,Usage Recovery Intervention
PSI Assessment Services FZ LLC,3,Null,Null,Needs Review,0,0,NO,Low,Data Validation Required
MONTAFA COMPANY LTD,3,3,1,YES,3499.466211,0,NO,Low,Usage Recovery Intervention
Construction Specialties Gulf Trading Est,3,3,3,NO,3766.092208,0,NO,Low,Monitor
Lenovre,2.5,3.33,3.67,NO,2999.542466,0,NO,Low,Monitor
Gulftainer,Null,Null,#N/A,Needs Review,#N/A,0,NO,Low,Data Validation Required
Investcorp,Null,0,3,#DIV/0!,2882.76028,0,NO,Low,#DIV/0!
McGraw Hill Education Saudi Arabia,3,1,2,NO,2749.713907,0,NO,Low,Monitor
Veripark Software for Information Technology,4,4,3,NO,2499.352096,0,NO,Low,Monitor
Kafaat Business Solutions,2,1.5,2,NO,2079.682777,0,NO,Low,Monitor
LCC Saudi Arabia Telecommunications Services Ltd,Null,Null,Null,Needs Review,0,0,NO,Low,Data Validation Required
Sadana Real Estate Co,4,4,1,YES,1188.085443,0,NO,Low,Usage Recovery Intervention
Future Fashion Trading Company Limited,Null,Null,Null,Needs Review,1777.595522,0,NO,Low,Data Validation Required
Eastern Retailing Readymade Fashion Company Limited,Null,0,0,#DIV/0!,1253.142186,0,NO,Low,#DIV/0!
Jassem Ibrahim M.J. Alshikar Est. (Hi-Force),#N/A,0,Null,Needs Review,0,0,NO,Low,Data Validation Required
TechMahindra USA,#N/A,#N/A,#N/A,Needs Review,0,0,NO,Low,Data Validation Required
Abdullah Al Othaim Investment Co,3,4,4,NO,12098.15461,0,YES,Low,Monitor
Transworld Trading Services for Contracting Est.,Null,3,3,NO,2499.618722,0,NO,Low,Monitor
Lutron,Null,2,1,YES,4999.237444,0,NO,Low,Usage Recovery Intervention
Dnata,3,3,3,NO,2499.618722,0,NO,Low,Monitor
Pico Play Productions Arabia Ltd Company,2,1,0,YES,2499.618722,0,NO,Low,Usage Recovery Intervention
Dr Tooth,#N/A,2.86,3.86,NO,7248.76098,0,NO,Low,Monitor

Albaha Development Co,#N/A,#N/A,#N/A,Needs Review,2999.542466,0,NO,Low,Data Validation Required
